,APPN
Price/Earnings (TTM),
Price/Sales (TTM),6.09169
Price/Book (MRQ),15.75043
Price/Cash Flow (TTM),
5yr Low,19.62
5yr High,260.0
5yr Avg Return,0.4864333333333334
EPS Growth 5yr,
Revenue Growth 5yr,0.2267221
Dividend Growth 5yr,
Short Int Current Month,4332207.0
Short Int Prev Month,5086489.0
Short Int Pct of Float,0.1086202
Days to Cover,5.42399
Float,39.90844
Shares Outstanding,72.5476
Institutions Holding Shares,294.0
% Held by Institutions,0.7796890000000001
FCF Growth 5yr,0.5022412470549816
