,OLN
% Below High,0.1392
% Held by Institutions,0.8608
52-Wk Range,['41.33 - 67.25']
Annual Dividend $,0.8
Annual Dividend %,0.0138
Ask,58.2
Ask Size,1200.0
B/A Ratio,0.6666666666666666
B/A Size,800x1200
Beta,1.4
Bid,56.2
Bid Size,800.0
Change Since Close,-1.43| |(-2.47%)
Closing Price,57.89
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-09 00:00:00
"EPS (TTM, GAAP)",9.31
Ex-dividend,2022-11-09 00:00:00
Ex-dividend Date,11/09/22
Historical Volatility,0.454
Last (size),10.0
Last (time),5:00p ET 11/25/22
Last Trade,56.46
Market Cap,7.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",6.22
Prev Close,57.89
Shares Outstanding,137.0M
Short Interest,0.0265
Today's Open,
Volume,18.0
Volume 10-day Avg,1781510.0
Volume Past Day,(Light)
