,ZUMZ
Price/Earnings (TTM),7.79296
Price/Sales (TTM),0.43558
Price/Book (MRQ),1.24011
Price/Cash Flow (TTM),5.01836
5yr Low,13.13
5yr High,55.1
5yr Avg Return,0.08696666666666665
EPS Growth 5yr,0.3606675
Revenue Growth 5yr,0.0719919
Dividend Growth 5yr,
Short Int Current Month,2225611.0
Short Int Prev Month,2208120.0
Short Int Pct of Float,0.14217739999999998
Days to Cover,9.7218
Float,15.65376
Shares Outstanding,19.47037
Institutions Holding Shares,227.0
% Held by Institutions,0.899418
FCF Growth 5yr,-0.03989701404664917
