,ZUMZ
Next Earnings Announcement,2022-12-01 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,-0.7291242362525459
Growth 1yr High Est,-0.7111553784860558
Growth 1yr Consensus Est,-0.7201398073693008
Growth 2yr Low Est,-0.2780959527127391
Growth 2yr High Est,-0.08661217200164861
Growth 2yr Consensus Est,-0.18235406235719387
Growth 5yr Low Est,0.07866527712991023
Growth 5yr High Est,0.1699181182845928
Growth 5yr Consensus Est,0.12429169770725151
Growth 5yr Actual/Est,0.08223401424786486
Growth 3yr Historic,0.19042620865139942
