,ZUMZ
% Above Low,0.1557
% Held by Institutions,0.8994
52-Wk Range,['20.29 - 49.98']
Annual Dividend $,
Annual Dividend %,
Ask,23.5
Ask Size,1700.0
B/A Ratio,0.29411764705882354
B/A Size,500x1700
Beta,1.5
Bid,23.45
Bid Size,500.0
Closing Price,23.45
Day Change $,-0.64
Day Change %,-0.026600000000000002
Day High,24.37
Day Low,23.35
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.09
Ex-dividend Date,No dividend
Historical Volatility,0.529
Last (size),1.0
Last (time),4:00p ET 11/28/22
Market Cap,456.6M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",7.79
Prev Close,24.09
Shares Outstanding,19.5M
Short Interest,0.1422
Today's Open,23.79
Volume,530879.0
Volume 10-day Avg,265104.0
Volume Past Day,(Heavy Day)
