,SAIA
% Above Low,0.37020000000000003
% Held by Institutions,1.1233
52-Wk Range,['168.03 - 344.45']
Annual Dividend $,
Annual Dividend %,
Ask,230.43
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.4
Bid,229.87
Bid Size,200.0
Day Change $,-6.54
Day Change %,-0.0276
Day High,237.73
Day Low,230.08
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",13.5
Ex-dividend Date,No dividend
Historical Volatility,0.564
Last (size),100.0
Last (time),1:34p ET 11/28/22
Market Cap,6.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",17.53
Prev Close,236.77
Price,230.24
Shares Outstanding,26.5M
Short Interest,0.10220000000000001
Today's Open,233.3
Volume Past Day,(Light)
