,SAIA
Price/Earnings (TTM),17.53335
Price/Sales (TTM),2.27555
Price/Book (MRQ),4.15904
Price/Cash Flow (TTM),12.19385
5yr Low,52.04
5yr High,365.5
5yr Avg Return,0.3412833333333334
EPS Growth 5yr,0.38358939999999997
Revenue Growth 5yr,0.12851869999999999
Dividend Growth 5yr,
Short Int Current Month,2687892.0
Short Int Prev Month,2521103.0
Short Int Pct of Float,0.10218540000000001
Days to Cover,5.08169
Float,26.30212
Shares Outstanding,26.46246
Institutions Holding Shares,415.0
% Held by Institutions,1.123284
FCF Growth 5yr,-0.06279590956989749
