,SAIA
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,0.4955849889624724
Growth 1yr High Est,0.49892473118279557
Growth 1yr Consensus Est,0.497254860072634
Growth 2yr Low Est,0.1666116826731181
Growth 2yr High Est,0.24444084478795453
Growth 2yr Consensus Est,0.2055262637305363
Growth 5yr Low Est,0.33360311511846164
Growth 5yr High Est,0.3705193737900103
Growth 5yr Consensus Est,0.352061244454236
Growth 5yr Actual/Est,0.35451050707451326
Growth 3yr Historic,0.25809481216457963
