,EGRX
Next Earnings Announcement,2023-03-06 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,1.8692307692307693
Growth 1yr High Est,1.6267123287671232
Growth 1yr Consensus Est,1.7479715489989462
Growth 2yr Low Est,0.6826046607547949
Growth 2yr High Est,0.6705921487381901
Growth 2yr Consensus Est,0.6765984047464925
Growth 5yr Low Est,0.3555299726538202
Growth 5yr High Est,0.34978882799228345
Growth 5yr Consensus Est,0.3526594003230518
Growth 5yr Actual/Est,0.3994286600662158
Growth 3yr Historic,0.021990064289888978
