,EGRX
% Above Low,0.4739
% Held by Institutions,0.8586
52-Wk Range,['24.35 - 56.43']
Annual Dividend $,
Annual Dividend %,
Ask,49.9
Ask Size,5000.0
B/A Ratio,0.04
B/A Size,200x5000
Beta,0.8
Bid,14.3
Bid Size,200.0
Closing Price,35.89
Day Change $,-0.66
Day Change %,-0.0181
Day High,36.66
Day Low,35.43
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.66
Ex-dividend Date,No dividend
Historical Volatility,0.514
Last (size),5.0
Last (time),1:00p ET 11/25/22
Market Cap,467.1M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",21.68
Prev Close,36.55
Shares Outstanding,13.0M
Short Interest,0.0801
Today's Open,36.16
Volume,38413.0
Volume 10-day Avg,110823.0
Volume Past Day,(Light)
