,EGRX
Price/Earnings (TTM),21.68226
Price/Sales (TTM),1.56637
Price/Book (MRQ),2.01544
Price/Cash Flow (TTM),16.17574
5yr Low,24.35
5yr High,85.66
5yr Avg Return,-0.038916666666666655
EPS Growth 5yr,
Revenue Growth 5yr,-0.019692
Dividend Growth 5yr,
Short Int Current Month,915892.0
Short Int Prev Month,915238.0
Short Int Pct of Float,0.0801318
Days to Cover,4.50346
Float,11.42301
Shares Outstanding,13.01586
Institutions Holding Shares,222.0
% Held by Institutions,0.8586
FCF Growth 5yr,-1.556237653878888
