,HMST
Next Earnings Announcement,2023-01-23 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-0.27680311890838205
Growth 1yr High Est,-0.3005464480874317
Growth 1yr Consensus Est,-0.2886747834979069
Growth 2yr Low Est,-0.2286980554110643
Growth 2yr High Est,-0.10339822404371585
Growth 2yr Consensus Est,-0.16604813972739008
Growth 5yr Low Est,0.3077875124152616
Growth 5yr High Est,0.3968375670908151
Growth 5yr Consensus Est,0.35231253975303833
Growth 5yr Actual/Est,0.367349147318667
Growth 3yr Historic,0.45304917727991073
