,HMST
Price/Earnings (TTM),6.12033
Price/Sales (TTM),1.67709
Price/Book (MRQ),0.92574
Price/Cash Flow (TTM),5.17801
5yr Low,18.44
5yr High,57.4
5yr Avg Return,0.061983333333333335
EPS Growth 5yr,0.1845522
Revenue Growth 5yr,0.0311712
Dividend Growth 5yr,
Short Int Current Month,701354.0
Short Int Prev Month,848309.0
Short Int Pct of Float,0.0395389
Days to Cover,4.17868
Float,17.9994
Shares Outstanding,18.72264
Institutions Holding Shares,241.0
% Held by Institutions,0.88723
FCF Growth 5yr,-0.2197745025578598
