,KN
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-0.15540540540540537
Growth 1yr High Est,-0.1466666666666666
Growth 1yr Consensus Est,-0.151036036036036
Growth 2yr Low Est,-0.14170270270270263
Growth 2yr High Est,-0.026458333333333306
Growth 2yr Consensus Est,-0.08408051801801797
Growth 5yr Low Est,0.2171356616356617
Growth 5yr High Est,0.19968949362041463
Growth 5yr Consensus Est,0.20841257762803816
Growth 5yr Actual/Est,0.20505544020567726
Growth 3yr Historic,0.24718896028037382
