,KN
Price/Earnings (TTM),
Price/Sales (TTM),1.71141
Price/Book (MRQ),1.16284
Price/Cash Flow (TTM),
5yr Low,10.95
5yr High,23.81
5yr Avg Return,0.025833333333333344
EPS Growth 5yr,0.4800701
Revenue Growth 5yr,0.0281206
Dividend Growth 5yr,
Short Int Current Month,1959217.0
Short Int Prev Month,1648009.0
Short Int Pct of Float,0.0219007
Days to Cover,1.85971
Float,89.49698
Shares Outstanding,90.94645
Institutions Holding Shares,318.0
% Held by Institutions,1.0039690000000001
FCF Growth 5yr,-0.6171180255449918
