,KN
% Above Low,0.3042
% Held by Institutions,1.004
52-Wk Range,['11.57 - 23.81']
Annual Dividend $,
Annual Dividend %,
Ask,18.93
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.5
Bid,
Bid Size,
Closing Price,15.09
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.44
Ex-dividend Date,No dividend
Historical Volatility,0.316
Last (size),43.0
Last (time),5:00p ET 11/25/22
Market Cap,1.4B
"P/E Ratio (TTM, GAAP)",
Prev Close,15.09
Shares Outstanding,90.9M
Short Interest,0.0219
Today's Open,
Volume,152193.0
Volume 10-day Avg,518858.0
Volume Past Day,(Light)
