,DUK
Price/Earnings (TTM),20.20243
Price/Sales (TTM),2.73752
Price/Book (MRQ),1.58542
Price/Cash Flow (TTM),8.05055
5yr Low,62.13
5yr High,116.33
5yr Avg Return,0.020516666666666673
EPS Growth 5yr,0.05902110000000001
Revenue Growth 5yr,0.019893499999999998
Dividend Growth 5yr,0.030255800000000003
Short Int Current Month,8158961.0
Short Int Prev Month,6984101.0
Short Int Pct of Float,0.010606599999999999
Days to Cover,2.22627
Float,769.2721
Shares Outstanding,770.0627
Institutions Holding Shares,2089.0
% Held by Institutions,0.62022
FCF Growth 5yr,0.5658059745104529
