,DUK
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,0.00963391136801528
Growth 1yr High Est,0.01872659176029967
Growth 1yr Consensus Est,0.014180251564157476
Growth 2yr Low Est,0.04107649766874044
Growth 2yr High Est,0.033260354703679273
Growth 2yr Consensus Est,0.03716842618620986
Growth 5yr Low Est,0.032516014658289905
Growth 5yr High Est,0.03027794263003969
Growth 5yr Consensus Est,0.0313969786441648
Growth 5yr Actual/Est,0.02872462306645951
Growth 3yr Historic,0.008823801877470394
