,DUK
% Above Low,0.1894
% Held by Institutions,0.6202000000000001
52-Wk Range,['83.76 - 116.33']
Annual Dividend $,4.02
Annual Dividend %,0.0404
Ask,100.0
Ask Size,700.0
B/A Ratio,0.7142857142857143
B/A Size,500x700
Beta,0.4
Bid,98.15
Bid Size,500.0
Closing Price,99.62
Day Change $,1.08
Day Change %,0.011000000000000001
Day High,99.99
Day Low,98.9
Dividend Pay Date,2022-12-16 00:00:00
"EPS (TTM, GAAP)",4.93
Ex-dividend,2022-11-17 00:00:00
Ex-dividend Date,11/17/22
Historical Volatility,0.217
Last (size),4.0
Last (time),5:00p ET 11/25/22
Market Cap,76.7B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",20.2
Prev Close,98.54
Shares Outstanding,770.1M
Short Interest,0.0106
Today's Open,99.0
Volume,1275680.0
Volume 10-day Avg,3275318.0
Volume Past Day,(Light)
