,YMAB
Price/Earnings (TTM),
Price/Sales (TTM),4.21414
Price/Book (MRQ),1.69576
Price/Cash Flow (TTM),
5yr Low,2.94
5yr High,55.22
5yr Avg Return,-0.10356000000000004
Short Int Current Month,1474720.0
Short Int Prev Month,3076835.0
Short Int Pct of Float,0.0387423
Days to Cover,1.19463
Float,38.06488
Shares Outstanding,43.66813
Institutions Holding Shares,158.0
% Held by Institutions,0.638214
FCF Growth 5yr,0.18935621844133022
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
