,FXLV
Price/Earnings (TTM),
Price/Sales (TTM),1.40411
Price/Book (MRQ),5.6655
Price/Cash Flow (TTM),
5yr Low,0.7857
5yr High,17.75
5yr Avg Return,-0.567
Short Int Current Month,5980359.0
Short Int Prev Month,6503619.0
Short Int Pct of Float,0.1257617
Days to Cover,14.19198
Float,47.5531
Shares Outstanding,97.3158
Institutions Holding Shares,104.0
% Held by Institutions,0.492371
FCF Growth 5yr,0.3247049321165885
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
