,FXLV
% Above Low,2.1437
% Held by Institutions,0.4924
52-Wk Range,['0.7857 - 15.78']
Annual Dividend $,
Annual Dividend %,
Ask,2.52
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,
Bid,2.42
Bid Size,100.0
Closing Price,2.47
Day Change $,0.07
Day Change %,0.0292
Day High,2.5
Day Low,2.31
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.82
Ex-dividend Date,No dividend
Historical Volatility,1.3530000000000002
Last (size),300.0
Last (time),5:00p ET 11/25/22
Market Cap,239.4M
"P/E Ratio (TTM, GAAP)",
Prev Close,2.4
Shares Outstanding,97.3M
Short Interest,0.1258
Today's Open,2.37
Volume,238942.0
Volume 10-day Avg,525158.0
Volume Past Day,(Light)
