,HAFC
% Below High,0.0697
% Held by Institutions,0.8996
52-Wk Range,['21.29 - 28.84']
Annual Dividend $,1.0
Annual Dividend %,0.0373
Ask,42.92
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.0
Bid,23.75
Bid Size,200.0
Closing Price,26.83
Day Change $,0.43
Day Change %,0.0163
Day High,26.87
Day Low,26.27
Dividend Pay Date,2022-11-23 00:00:00
"EPS (TTM, GAAP)",3.47
Ex-dividend,2022-11-04 00:00:00
Ex-dividend Date,11/04/22
Historical Volatility,0.32299999999999995
Last (size),84.0
Last (time),1:00p ET 11/25/22
Market Cap,817.9M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",7.73
Prev Close,26.4
Shares Outstanding,30.5M
Short Interest,0.0269
Today's Open,26.39
Volume,108146.0
Volume 10-day Avg,112202.0
Volume Past Day,(Average)
