,HAFC
Price/Earnings (TTM),7.73099
Price/Sales (TTM),3.16272
Price/Book (MRQ),1.34323
Price/Cash Flow (TTM),6.67104
5yr Low,7.15
5yr High,33.1
5yr Avg Return,0.06975
EPS Growth 5yr,0.1296551
Revenue Growth 5yr,0.0395568
Dividend Growth 5yr,-0.039339400000000004
Short Int Current Month,810073.0
Short Int Prev Month,724592.0
Short Int Pct of Float,0.026926899999999997
Days to Cover,6.25042
Float,30.08092
Shares Outstanding,30.48612
Institutions Holding Shares,227.0
% Held by Institutions,0.89955
FCF Growth 5yr,0.6001233853865434
