,COLL
Price/Earnings (TTM),
Price/Sales (TTM),2.01056
Price/Book (MRQ),3.70991
Price/Cash Flow (TTM),10.35601
5yr Low,10.01
5yr High,29.9
5yr Avg Return,0.06191666666666666
EPS Growth 5yr,
Revenue Growth 5yr,1.765697
Dividend Growth 5yr,
Short Int Current Month,3932335.0
Short Int Prev Month,3836911.0
Short Int Pct of Float,0.11858930000000001
Days to Cover,12.95257
Float,33.15433
Shares Outstanding,33.57192
Institutions Holding Shares,238.0
% Held by Institutions,1.0988120000000001
FCF Growth 5yr,
