,COLL
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-1.7054263565891472
Growth 2yr High Est,-19.8
Growth 2yr Consensus Est,-10.752713178294574
Growth 5yr Low Est,-1.7054263565891472
Growth 5yr High Est,-19.8
Growth 5yr Consensus Est,-10.752713178294574
Growth 5yr Actual/Est,-1.2391629203648344
Growth 3yr Historic,-0.09520123839009287
