,COLL
% Below High,0.0537
% Held by Institutions,1.0988
52-Wk Range,['14.04 - 22.89']
Annual Dividend $,
Annual Dividend %,
Ask,26.08
Ask Size,900.0
B/A Ratio,0.1111111111111111
B/A Size,100x900
Beta,0.8
Bid,8.88
Bid Size,100.0
Closing Price,21.66
Day Change $,0.17
Day Change %,0.0079
Day High,21.98
Day Low,21.34
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.26
Ex-dividend Date,No dividend
Historical Volatility,0.43700000000000006
Last (size),16.0
Last (time),12:59p ET 11/25/22
Market Cap,726.2M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,21.49
Shares Outstanding,33.6M
Short Interest,0.1186
Today's Open,21.51
Volume,102764.0
Volume 10-day Avg,259119.0
Volume Past Day,(Light)
