,NDAQ
% Below High,0.0482
% Held by Institutions,0.7629
52-Wk Range,['46.77 - 70.55']
Annual Dividend $,0.8
Annual Dividend %,0.011899999999999999
Ask,67.15
Ask Size,100.0
Ask close,71.75
B/A Ratio,1.0
B/A Size,100x100
Beta,0.9
Bid,66.61
Bid Size,100.0
Bid close,62.65
Change Since Close,0.00| |(0.00%)
Closing Price,67.15
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-16 00:00:00
"EPS (TTM, GAAP)",2.29
Ex-dividend,2022-12-01 00:00:00
Ex-dividend Date,12/01/22
Historical Volatility,0.276
Last (size),6.0
Last (time),1:00p ET 11/25/22
Last Trade,67.15
Market Cap,33.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",29.38
Prev Close,67.15
Shares Outstanding,491.3M
Short Interest,0.0144
Today's Open,
Volume,48.0
Volume 10-day Avg,1785268.0
Volume Past Day,(Light)
