,NDAQ
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,-0.6306179775280899
Growth 1yr High Est,-0.6395193591455274
Growth 1yr Consensus Est,-0.6350686683368086
Growth 2yr Low Est,-0.31530898876404495
Growth 2yr High Est,-0.27716708698017106
Growth 2yr Consensus Est,-0.296238037872108
Growth 5yr Low Est,-0.057975429485566304
Growth 5yr High Est,-0.029943217728171684
Growth 5yr Consensus Est,-0.043959323606868994
Growth 5yr Actual/Est,0.1421980428645429
Growth 3yr Historic,0.11420847625138075
