,NDAQ
Price/Earnings (TTM),29.38358
Price/Sales (TTM),5.39837
Price/Book (MRQ),5.61471
Price/Cash Flow (TTM),23.24836
5yr Low,23.89
5yr High,71.65
5yr Avg Return,0.18791666666666668
EPS Growth 5yr,0.6159570999999999
Revenue Growth 5yr,0.0969994
Dividend Growth 5yr,0.1176343
Short Int Current Month,4900480.0
Short Int Prev Month,6158194.0
Short Int Pct of Float,0.014388000000000001
Days to Cover,2.27263
Float,340.9796
Shares Outstanding,491.2795
Institutions Holding Shares,993.0
% Held by Institutions,0.762943
FCF Growth 5yr,0.138430969570877
