,J
Price/Earnings (TTM),34.52176
Price/Sales (TTM),1.0676
Price/Book (MRQ),2.65807
Price/Cash Flow (TTM),18.50828
5yr Low,55.17
5yr High,150.32
5yr Avg Return,0.1399
EPS Growth 5yr,0.1249379
Revenue Growth 5yr,0.0514857
Dividend Growth 5yr,
Short Int Current Month,1641202.0
Short Int Prev Month,1533642.0
Short Int Pct of Float,0.013128800000000001
Days to Cover,3.15136
Float,125.0844
Shares Outstanding,126.3323
Institutions Holding Shares,843.0
% Held by Institutions,0.865565
FCF Growth 5yr,-0.30460860394548833
