,J
% Above Low,0.1577
% Held by Institutions,0.8656
52-Wk Range,['106.78 - 150.32']
Annual Dividend $,0.92
Annual Dividend %,0.0074
Ask,144.0
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.9
Bid,119.0
Bid Size,100.0
Closing Price,123.62
Day Change $,0.92
Day Change %,0.0075
Day High,124.51
Day Low,122.71
Dividend Pay Date,2022-10-28 00:00:00
"EPS (TTM, GAAP)",3.58
Ex-dividend,2022-09-29 00:00:00
Ex-dividend Date,09/29/22
Historical Volatility,0.29100000000000004
Last (size),20.0
Last (time),5:00p ET 11/25/22
Market Cap,15.8B
"P/E Ratio (TTM, GAAP)",34.52
Prev Close,122.7
Shares Outstanding,126.3M
Short Interest,0.0131
Today's Open,123.18
Volume,227412.0
Volume 10-day Avg,603363.0
Volume Past Day,(Light)
