,AOS
Price/Earnings (TTM),19.68741
Price/Sales (TTM),2.47835
Price/Book (MRQ),5.57981
Price/Cash Flow (TTM),16.52797
5yr Low,33.81
5yr High,86.74
5yr Avg Return,0.04245
EPS Growth 5yr,0.10336240000000001
Revenue Growth 5yr,0.056709699999999995
Dividend Growth 5yr,0.1716905
Short Int Current Month,5559685.0
Short Int Prev Month,6413854.0
Short Int Pct of Float,0.0441563
Days to Cover,4.91431
Float,125.9309
Shares Outstanding,152.7755
Institutions Holding Shares,792.0
% Held by Institutions,0.982068
FCF Growth 5yr,3.2958339734726274
