,AOS
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,0.04166666666666674
Growth 1yr High Est,0.05405405405405417
Growth 1yr Consensus Est,0.047860360360360454
Growth 2yr Low Est,0.012500000000000067
Growth 2yr High Est,0.09914241164241167
Growth 2yr Consensus Est,0.055821205821205866
Growth 5yr Low Est,0.07767857142857143
Growth 5yr High Est,0.12413260932997777
Growth 5yr Consensus Est,0.1009055903792746
Growth 5yr Actual/Est,0.10829911574944687
Growth 3yr Historic,0.09278028028028026
