,AOS
% Above Low,0.32799999999999996
% Held by Institutions,0.9821
52-Wk Range,['46.58 - 86.74']
Annual Dividend $,1.2
Annual Dividend %,0.0194
Ask,125.55
Ask Size,400.0
B/A Ratio,0.25
B/A Size,100x400
Beta,1.2
Bid,50.0
Bid Size,100.0
Closing Price,61.86
Day Change $,0.33
Day Change %,0.0054
Day High,62.2
Day Low,61.48
Dividend Pay Date,2022-11-15 00:00:00
"EPS (TTM, GAAP)",3.14
Ex-dividend,2022-10-28 00:00:00
Ex-dividend Date,10/28/22
Historical Volatility,0.313
Last (size),21.0
Last (time),5:00p ET 11/25/22
Market Cap,9.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",19.69
Prev Close,61.53
Shares Outstanding,152.8M
Short Interest,0.044199999999999996
Today's Open,61.69
Volume,455665.0
Volume 10-day Avg,984746.0
Volume Past Day,(Light)
