,OPK
% Above Low,0.0007000000000000001
% Held by Institutions,0.2366
52-Wk Range,['1.43 - 5.25']
Annual Dividend $,
Annual Dividend %,
Ask,1.43
Ask Size,1200.0
B/A Ratio,3.4166666666666665
B/A Size,4100x1200
Beta,1.6
Bid,1.43
Bid Size,4100.0
Day Change $,-0.04
Day Change %,-0.027200000000000002
Day High,1.44
Day Low,1.43
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.45
Ex-dividend Date,No dividend
Historical Volatility,0.6970000000000001
Last (size),100.0
Last (time),9:32a ET 11/28/22
Market Cap,1.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,1.47
Price,1.43
Shares Outstanding,772.7M
Short Interest,0.0895
Today's Open,1.44
Volume Past Day,(Heavy Day)
