,OPK
Price/Earnings (TTM),
Price/Sales (TTM),0.93088
Price/Book (MRQ),0.69724
Price/Cash Flow (TTM),
5yr Low,1.12
5yr High,6.47
5yr Avg Return,0.03956666666666668
EPS Growth 5yr,
Revenue Growth 5yr,0.0969247
Dividend Growth 5yr,
Short Int Current Month,37299616.0
Short Int Prev Month,37446545.0
Short Int Pct of Float,0.0894984
Days to Cover,16.5081
Float,416.7628
Shares Outstanding,772.6859
Institutions Holding Shares,268.0
% Held by Institutions,0.236569
FCF Growth 5yr,-1.1469996921793773
