,OPK
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,24.5
Growth 1yr High Est,-6.999999999999999
Growth 1yr Consensus Est,8.75
Growth 2yr Low Est,12.191176470588236
Growth 2yr High Est,-4.154761904761904
Growth 2yr Consensus Est,4.018207282913165
Growth 5yr Low Est,8.127450980392156
Growth 5yr High Est,-2.7698412698412693
Growth 5yr Consensus Est,2.6788048552754433
Growth 5yr Actual/Est,1.1832374928119607
Growth 3yr Historic,-0.7837837837837838
