,AIR
% Below High,0.1189
% Held by Institutions,0.9645
52-Wk Range,['31.89 - 52.83']
Annual Dividend $,
Annual Dividend %,
Ask,46.97
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.6
Bid,
Bid Size,
Closing Price,46.55
Day Change $,0.09
Day Change %,0.0019
Day High,46.67
Day Low,46.14
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.48
Ex-dividend Date,No dividend
Historical Volatility,0.36100000000000004
Last (size),16.0
Last (time),5:00p ET 11/25/22
Market Cap,1.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",18.79
Prev Close,46.46
Shares Outstanding,35.1M
Short Interest,0.0362
Today's Open,46.47
Volume,81779.0
Volume 10-day Avg,161488.0
Volume Past Day,(Light)
