,AIR
Price/Earnings (TTM),18.78592
Price/Sales (TTM),0.90168
Price/Book (MRQ),1.57561
Price/Cash Flow (TTM),13.54161
5yr Low,8.56
5yr High,52.83
5yr Avg Return,0.034183333333333336
EPS Growth 5yr,0.0758316
Revenue Growth 5yr,0.027285499999999997
Dividend Growth 5yr,
Short Int Current Month,1210620.0
Short Int Prev Month,1326391.0
Short Int Pct of Float,0.0362467
Days to Cover,5.26755
Float,33.39945
Shares Outstanding,35.08309
Institutions Holding Shares,270.0
% Held by Institutions,0.9645140000000001
FCF Growth 5yr,0.4044639856332221
