,AIR
Next Earnings Announcement,2022-12-20 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,0.23404255319148937
Growth 1yr High Est,0.20967741935483875
Growth 1yr Consensus Est,0.22185998627316406
Growth 2yr Low Est,0.22046955245781363
Growth 2yr High Est,0.19983870967741935
Growth 2yr Consensus Est,0.2101541310676165
Growth 5yr Low Est,0.46102928841540197
Growth 5yr High Est,0.38618088919392973
Growth 5yr Consensus Est,0.42360508880466585
Growth 5yr Actual/Est,0.2163980042576235
Growth 3yr Historic,0.10652405467779158
