,MPWR
Price/Earnings (TTM),45.57808
Price/Sales (TTM),10.37611
Price/Book (MRQ),11.32441
Price/Cash Flow (TTM),40.50883
5yr Low,101.99
5yr High,580.0
5yr Avg Return,0.26885000000000003
EPS Growth 5yr,0.32069699999999995
Revenue Growth 5yr,0.25453790000000004
Dividend Growth 5yr,0.2351724
Short Int Current Month,2740033.0
Short Int Prev Month,2612958.0
Short Int Pct of Float,0.06017140000000001
Days to Cover,3.51531
Float,45.62635
Shares Outstanding,46.942
Institutions Holding Shares,909.0
% Held by Institutions,0.9809319999999999
FCF Growth 5yr,0.1238243462554367
