,MPWR
% Above Low,0.22399999999999998
% Held by Institutions,0.9809
52-Wk Range,['301.69 - 573.60']
Annual Dividend $,3.0
Annual Dividend %,0.008100000000000001
Ask,530.0
Ask Size,100.0
Ask close,396.3
B/A Ratio,2.0
B/A Size,200x100
Beta,1.1
Bid,235.6
Bid Size,200.0
Bid close,346.44
Change Since Close,-6.87| |(-1.86%)
Closing Price,369.28
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-10-14 00:00:00
"EPS (TTM, GAAP)",8.1
Ex-dividend,2022-09-29 00:00:00
Ex-dividend Date,09/29/22
Historical Volatility,0.61
Last (size),1.0
Last (time),1:00p ET 11/25/22
Last Trade,362.41
Market Cap,17.3B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",45.58
Prev Close,369.28
Shares Outstanding,46.9M
Short Interest,0.0602
Today's Open,
Volume,1.0
Volume 10-day Avg,539046.0
Volume Past Day,(Light)
