,LGIH
Price/Earnings (TTM),5.75552
Price/Sales (TTM),0.86202
Price/Book (MRQ),1.40396
Price/Cash Flow (TTM),5.56779
5yr Low,33.0
5yr High,188.0
5yr Avg Return,0.13678333333333334
EPS Growth 5yr,0.383191
Revenue Growth 5yr,0.29473900000000003
Dividend Growth 5yr,
Short Int Current Month,2999955.0
Short Int Prev Month,3117305.0
Short Int Pct of Float,0.146565
Days to Cover,11.27739
Float,20.46842
Shares Outstanding,23.29029
Institutions Holding Shares,295.0
% Held by Institutions,0.87895
FCF Growth 5yr,-2.2267482120841193
