,LGIH
% Above Low,0.3505
% Held by Institutions,0.879
52-Wk Range,['71.73 - 160.59']
Annual Dividend $,
Annual Dividend %,
Ask,118.0
Ask Size,700.0
Ask close,118.32
B/A Ratio,0.14285714285714285
B/A Size,100x700
Beta,1.6
Bid,76.1
Bid Size,100.0
Bid close,73.08
Change Since Close,-2.90| |(-2.99%)
Closing Price,96.87
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",16.83
Ex-dividend Date,No dividend
Historical Volatility,0.529
Last (size),1.0
Last (time),1:00p ET 11/25/22
Last Trade,93.97
Market Cap,2.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",5.76
Prev Close,96.87
Shares Outstanding,23.3M
Short Interest,0.1466
Today's Open,
Volume,1.0
Volume 10-day Avg,200463.0
Volume Past Day,(Light)
