,LGIH
Next Earnings Announcement,2023-02-14 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-0.16626360338573154
Growth 1yr High Est,-0.1562678878076702
Growth 1yr Consensus Est,-0.16126574559670087
Growth 2yr Low Est,-0.34709119255580995
Growth 2yr High Est,-0.18498604702459492
Growth 2yr Consensus Est,-0.26603861979020244
Growth 5yr Low Est,0.20392026108173084
Growth 5yr High Est,0.2796579736386997
Growth 5yr Consensus Est,0.2417891173602153
Growth 5yr Actual/Est,0.16023967123849528
Growth 3yr Historic,0.29238617385169113
