,AMCR
Price/Earnings (TTM),21.90191
Price/Sales (TTM),1.21241
Price/Book (MRQ),4.57856
Price/Cash Flow (TTM),12.86649
5yr Low,5.8
5yr High,13.61
5yr Avg Return,0.022250000000000002
EPS Growth 5yr,0.0177582
Revenue Growth 5yr,0.0982949
Dividend Growth 5yr,0.021176900000000002
Short Int Current Month,29264536.0
Short Int Prev Month,34530962.0
Short Int Pct of Float,0.019844399999999998
Days to Cover,3.33449
Float,1474.708
Shares Outstanding,1489.02
Institutions Holding Shares,808.0
% Held by Institutions,0.464341
FCF Growth 5yr,1.3436960642842994
