,AMCR
Next Earnings Announcement,2023-01-31 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,-0.025316455696202556
Growth 1yr High Est,-0.012345679012345734
Growth 1yr Consensus Est,-0.018831067354274145
Growth 2yr Low Est,-0.006164721354594727
Growth 2yr High Est,0.03132716049382711
Growth 2yr Consensus Est,0.012581219569616192
Growth 5yr Low Est,0.06154577552341947
Growth 5yr High Est,0.07412511870845201
Growth 5yr Consensus Est,0.06783544711593574
Growth 5yr Actual/Est,0.06919653699057707
Growth 3yr Historic,0.06271114864864868
