,AMCR
% Below High,0.1121
% Held by Institutions,0.4643
52-Wk Range,['10.42 - 13.61']
Annual Dividend $,0.49
Annual Dividend %,0.0406
Ask,12.08
Ask Size,2800.0
B/A Ratio,0.03571428571428571
B/A Size,100x2800
Beta,0.9
Bid,10.49
Bid Size,100.0
Closing Price,12.08
Day Change $,0.0
Day Change %,0.0
Day High,12.18
Day Low,12.06
Dividend Pay Date,2022-12-13 00:00:00
"EPS (TTM, GAAP)",0.55
Ex-dividend,2022-11-22 00:00:00
Ex-dividend Date,11/22/22
Historical Volatility,0.277
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,18.0B
"P/E Ratio (TTM, GAAP)",21.9
Prev Close,12.08
Shares Outstanding,1.5B
Short Interest,0.019799999999999998
Today's Open,12.13
Volume,3198631.0
Volume 10-day Avg,6910362.0
Volume Past Day,(Light)
