,PIPR
% Below High,0.2184
% Held by Institutions,0.6572
52-Wk Range,['102.60 - 187.00']
Annual Dividend $,2.4
Annual Dividend %,0.016200000000000003
Ask,146.49
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.4
Bid,145.93
Bid Size,100.0
Day Change $,-1.65
Day Change %,-0.011200000000000002
Day High,146.59
Day Low,145.09
Dividend Pay Date,2022-12-09 00:00:00
"EPS (TTM, GAAP)",10.79
Ex-dividend,2022-11-22 00:00:00
Ex-dividend Date,11/22/22
Historical Volatility,0.401
Last (size),1.0
Last (time),10:42a ET 11/28/22
Market Cap,2.6B
"P/E Ratio (TTM, GAAP)",13.7
Prev Close,147.81
Price,146.16
Shares Outstanding,17.8M
Short Interest,0.03
Today's Open,146.58
Volume Past Day,(Light)
