,PIPR
Price/Earnings (TTM),13.69647
Price/Sales (TTM),1.55728
Price/Book (MRQ),2.01802
Price/Cash Flow (TTM),11.91836
5yr Low,31.95
5yr High,193.6
5yr Avg Return,0.15266666666666667
EPS Growth 5yr,
Revenue Growth 5yr,0.2153979
Dividend Growth 5yr,
Short Int Current Month,516282.0
Short Int Prev Month,652273.0
Short Int Pct of Float,0.029974599999999997
Days to Cover,5.9913
Float,17.24558
Shares Outstanding,17.83295
Institutions Holding Shares,323.0
% Held by Institutions,0.657158
FCF Growth 5yr,-0.626058956881835
