,PFC
Next Earnings Announcement,2023-01-24 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,-0.13450292397660812
Growth 1yr High Est,-0.14899713467048714
Growth 1yr Consensus Est,-0.14175002932354763
Growth 2yr Low Est,-0.02671092144776349
Growth 2yr High Est,-0.03241102524770151
Growth 2yr Consensus Est,-0.0295609733477325
Growth 5yr Low Est,0.08849639112797006
Growth 5yr High Est,0.08279448737614928
Growth 5yr Consensus Est,0.08564543925205967
Growth 5yr Actual/Est,0.14643918434607162
Growth 3yr Historic,0.15721061547148507
