,PFC
% Below High,0.1105
% Held by Institutions,0.6715000000000001
52-Wk Range,['24.35 - 32.89']
Annual Dividend $,1.2
Annual Dividend %,0.0407
Ask,29.32
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.2
Bid,29.22
Bid Size,100.0
Day Change $,-0.26
Day Change %,-0.0088
Day High,29.43
Day Low,29.16
Dividend Pay Date,2022-11-18 00:00:00
"EPS (TTM, GAAP)",2.84
Ex-dividend,2022-11-09 00:00:00
Ex-dividend Date,11/09/22
Historical Volatility,0.28300000000000003
Last (size),1.0
Last (time),10:15a ET 11/28/22
Market Cap,1.0B
"P/E Ratio (TTM, GAAP)",10.41
Prev Close,29.51
Price,29.25
Shares Outstanding,35.6M
Short Interest,0.0125
Today's Open,29.43
Volume Past Day,(Light)
