,ED
Price/Earnings (TTM),20.45827
Price/Sales (TTM),2.29818
Price/Book (MRQ),1.66823
Price/Cash Flow (TTM),9.28337
5yr Low,62.03
5yr High,102.21
5yr Avg Return,0.029333333333333333
EPS Growth 5yr,-0.0135314
Revenue Growth 5yr,0.025213700000000002
Dividend Growth 5yr,0.0295451
Short Int Current Month,7309548.0
Short Int Prev Month,7816432.0
Short Int Pct of Float,0.0206269
Days to Cover,4.16246
Float,354.4268
Shares Outstanding,354.8629
Institutions Holding Shares,1366.0
% Held by Institutions,0.667777
FCF Growth 5yr,39.44307502088555
