,ED
% Below High,0.0461
% Held by Institutions,0.6678000000000001
52-Wk Range,['77.50 - 102.21']
Annual Dividend $,3.16
Annual Dividend %,0.032400000000000005
Ask,105.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.3
Bid,87.55
Bid Size,100.0
Closing Price,97.5
Day Change $,0.83
Day Change %,0.0086
Day High,97.64
Day Low,96.67
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",4.77
Ex-dividend,2022-11-15 00:00:00
Ex-dividend Date,11/15/22
Historical Volatility,0.22100000000000003
Last (size),16.0
Last (time),5:00p ET 11/25/22
Market Cap,34.6B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",20.46
Prev Close,96.67
Shares Outstanding,354.9M
Short Interest,0.0206
Today's Open,97.03
Volume,830009.0
Volume 10-day Avg,1933097.0
Volume Past Day,(Light)
