,GDEN
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-0.4677103718199609
Growth 1yr High Est,-0.3912213740458016
Growth 1yr Consensus Est,-0.42946587293288124
Growth 2yr Low Est,-0.40664930355703927
Growth 2yr High Est,-0.25517181554954654
Growth 2yr Consensus Est,-0.3309105595532929
Growth 5yr Low Est,-1.2370669830668632
Growth 5yr High Est,-1.478426243909227
Growth 5yr Consensus Est,-1.3577466134880452
Growth 5yr Actual/Est,-0.04458391161294695
Growth 3yr Historic,0.09267170201461794
