,GDEN
% Above Low,0.3471
% Held by Institutions,0.6420999999999999
52-Wk Range,['32.53 - 59.96']
Annual Dividend $,
Annual Dividend %,
Ask,60.0
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,2.4
Bid,35.0
Bid Size,100.0
Closing Price,43.82
Day Change $,-0.09
Day Change %,-0.002
Day High,44.2
Day Low,43.52
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.81
Ex-dividend Date,No dividend
Historical Volatility,0.514
Last (size),9.0
Last (time),1:00p ET 11/25/22
Market Cap,1.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",15.62
Prev Close,43.91
Shares Outstanding,28.5M
Short Interest,0.0487
Today's Open,44.1
Volume,35998.0
Volume 10-day Avg,172212.0
Volume Past Day,(Light)
