,GDEN
Price/Earnings (TTM),15.61693
Price/Sales (TTM),1.11134
Price/Book (MRQ),3.54651
Price/Cash Flow (TTM),6.48146
5yr Low,3.55
5yr High,59.96
5yr Avg Return,0.18306666666666668
EPS Growth 5yr,0.4731284
Revenue Growth 5yr,0.2234707
Dividend Growth 5yr,
Short Int Current Month,947954.0
Short Int Prev Month,1012846.0
Short Int Pct of Float,0.048682699999999995
Days to Cover,4.0951
Float,20.54146
Shares Outstanding,28.50539
Institutions Holding Shares,219.0
% Held by Institutions,0.64213
FCF Growth 5yr,0.20110831664115766
