,BCC
% Below High,0.1427
% Held by Institutions,0.9333
52-Wk Range,['55.14 - 85.17']
Annual Dividend $,0.6
Annual Dividend %,0.008199999999999999
Ask,85.0
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,1.6
Bid,66.12
Bid Size,300.0
Closing Price,73.02
Day Change $,0.44
Day Change %,0.0060999999999999995
Day High,73.84
Day Low,72.69
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",22.87
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.563
Last (size),314.0
Last (time),5:00p ET 11/25/22
Market Cap,2.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",3.19
Prev Close,72.58
Shares Outstanding,39.4M
Short Interest,0.0187
Today's Open,72.69
Volume,62730.0
Volume 10-day Avg,207799.0
Volume Past Day,(Light)
