,UP
Price/Earnings (TTM),
Price/Sales (TTM),0.21053
Price/Book (MRQ),0.62228
Price/Cash Flow (TTM),
5yr Low,0.99
5yr High,15.0
5yr Avg Return,-0.4121333333333333
Short Int Current Month,5121121.0
Short Int Prev Month,4662465.0
Short Int Pct of Float,0.0230518
Days to Cover,4.42449
Float,223.5158
Shares Outstanding,247.503
Institutions Holding Shares,235.0
% Held by Institutions,0.505552
FCF Growth 5yr,-1.3320190630783646
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
