,UP
% Above Low,0.2727
% Held by Institutions,0.5056
52-Wk Range,['0.99 - 5.04']
Annual Dividend $,
Annual Dividend %,
Ask,1.29
Ask Size,700.0
B/A Ratio,1.4285714285714286
B/A Size,1000x700
Beta,
Bid,1.2
Bid Size,1000.0
Closing Price,1.26
Day Change $,-0.03
Day Change %,-0.0233
Day High,1.35
Day Low,1.23
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.41
Ex-dividend Date,No dividend
Historical Volatility,0.793
Last (size),9.0
Last (time),7:00p ET 11/28/22
Market Cap,308.1M
"P/E Ratio (TTM, GAAP)",
Prev Close,1.29
Shares Outstanding,247.5M
Short Interest,0.0231
Today's Open,1.3
Volume,1187999.0
Volume 10-day Avg,893542.0
Volume Past Day,(Heavy Day)
