,SCS
% Above Low,0.2699
% Held by Institutions,0.9153
52-Wk Range,['6.52 - 12.93']
Annual Dividend $,0.4
Annual Dividend %,0.0473
Ask,8.29
Ask Size,600.0
B/A Ratio,0.6666666666666666
B/A Size,400x600
Beta,1.4
Bid,8.28
Bid Size,400.0
Day Change $,-0.18
Day Change %,-0.0213
Day High,8.41
Day Low,8.25
Dividend Pay Date,2022-10-17 00:00:00
"EPS (TTM, GAAP)",0.13
Ex-dividend,2022-10-04 00:00:00
Ex-dividend Date,10/04/22
Historical Volatility,0.406
Last (size),100.0
Last (time),1:50p ET 11/28/22
Market Cap,934.9M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",63.76
Prev Close,8.46
Price,8.28
Shares Outstanding,112.8M
Short Interest,0.032799999999999996
Today's Open,8.37
Volume Past Day,(Light)
