,SCS
Price/Earnings (TTM),63.75763
Price/Sales (TTM),0.30826
Price/Book (MRQ),1.19358
Price/Cash Flow (TTM),9.41906
5yr Low,6.52
5yr High,23.02
5yr Avg Return,-0.06846666666666666
EPS Growth 5yr,-0.4938251
Revenue Growth 5yr,-0.0177472
Dividend Growth 5yr,0.0219332
Short Int Current Month,2885620.0
Short Int Prev Month,3372776.0
Short Int Pct of Float,0.0328087
Days to Cover,4.8222
Float,106.1788
Shares Outstanding,112.7838
Institutions Holding Shares,268.0
% Held by Institutions,0.9152819999999999
FCF Growth 5yr,0.16237117524719644
