,SCS
Next Earnings Announcement,2022-12-15 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,7.0
Growth 1yr High Est,8.333333333333334
Growth 1yr Consensus Est,7.666666666666667
Growth 2yr Low Est,3.75
Growth 2yr High Est,4.470238095238096
Growth 2yr Consensus Est,4.1101190476190474
Growth 5yr Low Est,3.75
Growth 5yr High Est,4.470238095238096
Growth 5yr Consensus Est,4.1101190476190474
Growth 5yr Actual/Est,3.4007351336606653
Growth 3yr Historic,-0.3989102564102564
